title,company,location,salary,date_posted,description,url
full stack developer,NewFull Stack DeveloperThe Patrick J. McGovern Foundation,"Remote, Remote, United States of America",,30 June 2025,,https://www.python.org/jobs/
senior python developer,NewSenior Python DeveloperEA STRATEGY SAS,"Medellin Cartagena Bogota, cundinamarca Antioquia bolivar, Colombia",,26 June 2025,,https://www.python.org/jobs/
senior backend python developer,NewSenior Backend Python DeveloperGravitas Recruitment,"London, Greater London, United Kingdom",,25 June 2025,,https://www.python.org/jobs/
lead software engineer machine learning,"NewLead Software Engineer, Machine LearningMeedan","San Francisco, CA, United States",,25 June 2025,,https://www.python.org/jobs/
python engineering manager,NewPython Engineering ManagerPicnic Technologies,"Amsterdam, The Netherlands",,25 June 2025,,https://www.python.org/jobs/
sr data engineer,NewSr Data EngineerPicnic Technologies,"Amsterdam, The Netherlands",,25 June 2025,,https://www.python.org/jobs/
ai developer,NewAI DeveloperLogix,"Basel, Switzerland, Switzerland",,14 June 2025,,https://www.python.org/jobs/
senior backend python engineer,NewSenior Back-End Python EngineerActive Prime,"Remote, Remote, Remote",,12 June 2025,,https://www.python.org/jobs/
software developer  infrastructure and systems support ref tecit258,NewSoftware Developer – Infrastructure and Systems Support (Ref. TEC-IT-25-8)European Gravitational Observatory (EGO),"Cascina (PI), Tuscany, Italy",,10 June 2025,,https://www.python.org/jobs/
cno python software engineer,NewCNO Python Software EngineerManTech,"Hanover, US",,09 June 2025,,https://www.python.org/jobs/
senior software engineer,NewSenior Software EngineerSimons Foundation,"New York, New York, United States",,06 June 2025,,https://www.python.org/jobs/
senior fullstack product engineer,NewSenior Full-Stack Product EngineerSOUS,"Amsterdam, Netherlands",,05 June 2025,,https://www.python.org/jobs/
llm  python for computer vision,NewLLM - Python for Computer VisionThisan Mikal,"Remote, Any, Worldwide",,05 June 2025,,https://www.python.org/jobs/
senior python developer,NewSenior Python DeveloperFoxley Talent,"London, Select state, United Kingdom",,04 June 2025,,https://www.python.org/jobs/
principal backend engineer,Principal Backend EngineerAutoHDR,"Austin, Texas, United States",,03 June 2025,,https://www.python.org/jobs/
cto python expert  technical leader  equitystock options available,CTO (Python Expert & Technical Leader) – Equity/Stock Options AvailableDomainsbot,"Rome, Italy",,28 May 2025,,https://www.python.org/jobs/
vp of engineering,VP of EngineeringPermutable AI,"London, London, United Kingdom",,26 May 2025,,https://www.python.org/jobs/
associate principal graph data scientist,Associate Principal Graph Data ScientistAstraZeneca,"Macclesfield/Gothenburg, UK/Sweden",,23 May 2025,,https://www.python.org/jobs/
associate principal ai data scientist,Associate Principal AI Data ScientistAstraZeneca,"Macclesfield/Gothenburg, UK/Sweden",,23 May 2025,,https://www.python.org/jobs/
sr software developer healthcare,Sr. Software Developer (Healthcare)Prenosis,"Remote (USA Only), USA",,23 May 2025,,https://www.python.org/jobs/
senior phython engineer,Senior Phython EngineerIOMICS Corporation,"Holyoke, MA, United States",,20 May 2025,,https://www.python.org/jobs/
senior backend engineer,Senior Backend EngineerWasmer,"Madrid, CA, Spain",,20 May 2025,,https://www.python.org/jobs/
research engineer,Research EngineerGEM (GlobalQuakeModel),"Pavia, Lombardy, Italy",,06 May 2025,,https://www.python.org/jobs/
senior software engineer latam,Senior Software Engineer (LATAM)NetMakers,"New York, Nueva York, United State",,25 April 2025,,https://www.python.org/jobs/
core tech ai engineer at codeflashai,Core Tech AI Engineer at CodeFlash.aiCodeFlash.ai,"san francisco, California, United States",,14 April 2025,,https://www.python.org/jobs/
