title,company,location,salary,date_posted,description,url
full stack developer,NewFull Stack DeveloperThe Patrick J. McGovern Foundation,"Remote, Remote, United States of America",,30 June 2025,,
senior python developer,NewSenior Python DeveloperEA STRATEGY SAS,"Medellin Cartagena Bogota, cundinamarca Antioquia bolivar, Colombia",,26 June 2025,,
senior backend python developer,NewSenior Backend Python DeveloperGravitas Recruitment,"London, Greater London, United Kingdom",,25 June 2025,,
lead software engineer machine learning,"NewLead Software Engineer, Machine LearningMeedan","San Francisco, CA, United States",,25 June 2025,,
python engineering manager,NewPython Engineering ManagerPicnic Technologies,"Amsterdam, The Netherlands",,25 June 2025,,
sr data engineer,NewSr Data EngineerPicnic Technologies,"Amsterdam, The Netherlands",,25 June 2025,,
python data engineer juniormedior level,NewPython Data Engineer (Junior/Medior level)*Confidential*,"Prague, Czech Republic",,19 June 2025,,
ai developer,NewAI DeveloperLogix,"Basel, Switzerland, Switzerland",,14 June 2025,,
senior backend python engineer,NewSenior Back-End Python EngineerActive Prime,"Remote, Remote, Remote",,12 June 2025,,
software developer  infrastructure and systems support ref tecit258,NewSoftware Developer – Infrastructure and Systems Support (Ref. TEC-IT-25-8)European Gravitational Observatory (EGO),"Cascina (PI), Tuscany, Italy",,10 June 2025,,
cno python software engineer,NewCNO Python Software EngineerManTech,"Hanover, US",,09 June 2025,,
senior software engineer,NewSenior Software EngineerSimons Foundation,"New York, New York, United States",,06 June 2025,,
senior fullstack product engineer,NewSenior Full-Stack Product EngineerSOUS,"Amsterdam, Netherlands",,05 June 2025,,
llm  python for computer vision,NewLLM - Python for Computer VisionThisan Mikal,"Remote, Any, Worldwide",,05 June 2025,,
senior python developer,NewSenior Python DeveloperFoxley Talent,"London, Select state, United Kingdom",,04 June 2025,,
principal backend engineer,NewPrincipal Backend EngineerAutoHDR,"Austin, Texas, United States",,03 June 2025,,
cto python expert  technical leader  equitystock options available,CTO (Python Expert & Technical Leader) – Equity/Stock Options AvailableDomainsbot,"Rome, Italy",,28 May 2025,,
vp of engineering,VP of EngineeringPermutable AI,"London, London, United Kingdom",,26 May 2025,,
associate principal graph data scientist,Associate Principal Graph Data ScientistAstraZeneca,"Macclesfield/Gothenburg, UK/Sweden",,23 May 2025,,
associate principal ai data scientist,Associate Principal AI Data ScientistAstraZeneca,"Macclesfield/Gothenburg, UK/Sweden",,23 May 2025,,
sr software developer healthcare,Sr. Software Developer (Healthcare)Prenosis,"Remote (USA Only), USA",,23 May 2025,,
senior phython engineer,Senior Phython EngineerIOMICS Corporation,"Holyoke, MA, United States",,20 May 2025,,
senior backend engineer,Senior Backend EngineerWasmer,"Madrid, CA, Spain",,20 May 2025,,
research engineer,Research EngineerGEM (GlobalQuakeModel),"Pavia, Lombardy, Italy",,06 May 2025,,
senior software engineer latam,Senior Software Engineer (LATAM)NetMakers,"New York, Nueva York, United State",,25 April 2025,,
